번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
1,늘예솔 글램핑,경상남도 거창군 북상면 월성리 941-4번지,경상남도 거창군 북상면 덕유월성로 1384-5,50100,river,glamping,couple,17,1703,35.76419,127.7368363,,
2,아쿠아마린 글램핑,경기도 포천시 이동면 도평리 333번지,경기도 포천시 이동면 성장로1289번길 204,11110,sea,easycamping,kids,3,302,38.0757063,127.4032977,,
3,부에노스아이레스,경기도 가평군 가평읍 복장리 580-3번지,경기도 가평군 가평읍 상지로 949,12430,lake,caravan,pet,3,301,37.740356,127.4999057,,
4,오페라캠핑장,강원도 홍천군 내촌면 화상대리 산 375-2,강원도 홍천군 내촌면 아홉사리로 104-15,25163,river,glamping,couple,4,414,37.8018189,128.0035294,,
5,사계절 야영장,충청북도 영동군 상촌면 대해리 1083-1,충청북도 영동군 상촌면 물한계곡로 700,29126,sea,easycamping,kids,8,804,36.101298,127.8848185,,
6,해자연캠핑장,경기도 남양주시 오남읍 팔현리 9-22,경기도 남양주시 오남읍 팔현로175번길 310-60,12038,lake,caravan,pet,3,306,37.7009065,127.2628633,,
7,글램핑스테이션,충청북도 괴산군 연풍면 갈금리 255-19번지,충청북도 괴산군 연풍면 연풍로 823-9,28014,river,glamping,couple,8,801,36.7816546,127.9512861,,
8,청포대휴야영장,충청남도 태안군 남면 원청리 512-142,충청남도 태안군 남면 청포대길 63-6,32157,sea,easycamping,kids,7,702,36.6393956,126.3021005,,
9,옥산 호수정원(진달래 관광농원),충청남도 부여군 옥산면 봉산리 171-3,충청남도 부여군 옥산면 봉산로56번길 56,33204,lake,caravan,pet,7,707,36.1980162,126.7234974,,
10,휴림,경기도 여주시 산북면 주어리 368-1,경기도 여주시 산북면 주어로 204,12600,mountain,camping,family,3,318,37.4016889,127.442999,,
11,그라티아 글램핑,경기도 가평군 가평읍 두밀리 216,경기도 가평군 가평읍 태봉두밀로 421-24,12425,river,glamping,couple,3,301,37.8152713,127.4547979,,
12,백운산캠핑장,경상남도 함양군 백전면 백운리 120-2번지,경상남도 함양군 백전면 함양남서로 2755,50026,sea,easycamping,kids,17,1717,35.5884737,127.6371657,,
13,도봉야영장,경기도 의정부시 호원동 163,경기도 의정부시 창포원로 81 (호원동),11716,lake,caravan,pet,3,322,37.6951064,127.046636,,
14,에제르파크,인천광역시 남동구 장수동 141-7,인천광역시 남동구 만의골로 155 (장수동),21533,river,glamping,couple,2,204,37.4547802,126.7457475,,
15,와우파크,강원도 강릉시 사천면 사천진리 242-1번지,강원도 강릉시 사천면 공회당길 7-13,25435,lake,caravan,pet,4,401,37.832069,128.8714898,,
16,팜스토리,경상북도 청도군 운문면 봉하리 817번지 (817-1번지),경상북도 청도군 운문면 운북로 443-18,38365,river,glamping,couple,16,1619,35.8041233,128.9763417,,
17,라무 키즈 글램핑,경기도 가평군 북면 도대리 324-10,경기도 가평군 북면 가화로 2372-42,12401,lake,caravan,pet,3,301,37.9542988,127.477874,,
18,솔향기캠핑장,충청남도 태안군 소원면 모항리 442-3,충청남도 태안군 소원면 모항항길 29,32123,river,glamping,couple,7,702,36.77741217,126.1429476,,
19,충주 커피박물관 관광농원 야영장,충청북도 충주시 살미면 내사리 산 20-2,충청북도 충주시 살미면 월악로 432,27492,sea,easycamping,kids,8,810,36.9044212,128.0144229,,
20,전원일기 오토캠핑장,경상북도 경주시 산내면 대현리 2372,경상북도 경주시 산내면 문복로 578,38187,lake,caravan,pet,16,1602,35.6842054,129.0502907,,
21,전월산 국민여가캠핑장,충청남도 연기군 남면 월산리 320-1,세종특별자치시 연기면 갈매로 169,30129,mountain,camping,family,6,601,36.4800668,127.269419,,
22,트리앤캠프스토리,강원도 양구군 양구읍 군량리 450,강원도 양구군 양구읍 성곡로 849,24514,river,glamping,couple,4,407,38.1602934,127.9637103,,
23,청포대 일등캠핑장,충청남도 태안군 남면 양잠리 1230-3,충청남도 태안군 남면 청포대길 125,32155,sea,easycamping,kids,7,702,36.6442404,126.3004253,,
24,한자루체험농원(휴앤아크),강원도 인제군 기린면 방동리 68-3,강원도 인제군 기린면 방동약수로 68,24656,lake,caravan,pet,4,409,37.9126207,128.4151868,,
25,산들내캠핑장,전라북도 정읍시 산외면 정량리 85-1 인문학뇌만들기 문화공간 창,전라북도 정읍시 산외면 종운로 260,56123,mountain,camping,family,9,912,35.606664,127.06242,,
26,솔라캠프,경상북도 안동시 와룡면 가구리 377-1,경상북도 안동시 와룡면 농암로 101-44,36611,sea,easycamping,kids,16,1611,36.6197305,128.7775784,,
27,산책,경기도 가평군 북면 화악리 754-6번지,경기도 가평군 북면 화악산로 943-40,12402,lake,caravan,pet,3,301,37.9375355,127.5398139,,
