roomidx ,idx ,romname ,minpeople,maxpeople,price,r_check,content,col1,col2
1,1,봄방,2,4,50000,0,,,
2,1,여름방,2,6,70000,0,,,
3,1,가을방,4,6,80000,0,,,
4,1,겨울방,8,10,150000,0,,,
5,2,봄방,2,4,50000,0,,,
6,2,여름방,2,6,70000,0,,,
7,2,가을방,4,6,80000,0,,,
8,2,겨울방,8,10,150000,0,,,
9,3,봄방,2,4,50000,0,,,
10,3,여름방,2,6,70000,0,,,
11,3,가을방,4,6,80000,0,,,
12,3,겨울방,8,10,150000,0,,,
13,4,봄방,2,4,50000,0,,,
14,4,여름방,2,6,70000,0,,,
15,4,가을방,4,6,80000,0,,,
16,4,겨울방,8,10,150000,0,,,
17,5,봄방,2,4,50000,0,,,
18,5,여름방,2,6,70000,0,,,
19,5,가을방,4,6,80000,0,,,
20,5,겨울방,8,10,150000,0,,,
21,6,봄방,2,4,50000,0,,,
22,6,여름방,2,6,70000,0,,,
23,6,가을방,4,6,80000,0,,,
24,6,겨울방,8,10,150000,0,,,
25,7,봄방,2,4,50000,0,,,
26,7,여름방,2,6,70000,0,,,
27,7,가을방,4,6,80000,0,,,
28,7,겨울방,8,10,150000,0,,,
29,8,봄방,2,4,50000,0,,,
30,8,여름방,2,6,70000,0,,,
31,8,가을방,4,6,80000,0,,,
32,8,겨울방,8,10,150000,0,,,
33,9,봄방,2,4,50000,0,,,
34,9,여름방,2,6,70000,0,,,
35,9,가을방,4,6,80000,0,,,
36,9,겨울방,8,10,150000,0,,,
37,10,봄방,2,4,50000,0,,,
38,10,여름방,2,6,70000,0,,,
39,10,가을방,4,6,80000,0,,,
40,10,겨울방,8,10,150000,0,,,
41,11,봄방,2,4,50000,0,,,
42,11,여름방,2,6,70000,0,,,
43,11,가을방,4,6,80000,0,,,
44,11,겨울방,8,10,150000,0,,,
45,12,봄방,2,4,50000,0,,,
46,12,여름방,2,6,70000,0,,,
47,12,가을방,4,6,80000,0,,,
48,12,겨울방,8,10,150000,0,,,
49,13,봄방,2,4,50000,0,,,
50,13,여름방,2,6,70000,0,,,
51,13,가을방,4,6,80000,0,,,
52,13,겨울방,8,10,150000,0,,,
53,14,봄방,2,4,50000,0,,,
54,14,여름방,2,6,70000,0,,,
55,14,가을방,4,6,80000,0,,,
56,14,겨울방,8,10,150000,0,,,
57,15,봄방,2,4,50000,0,,,
58,15,여름방,2,6,70000,0,,,
59,15,가을방,4,6,80000,0,,,
60,15,겨울방,8,10,150000,0,,,
61,16,봄방,2,4,50000,0,,,
62,16,여름방,2,6,70000,0,,,
63,16,가을방,4,6,80000,0,,,
64,16,겨울방,8,10,150000,0,,,
65,17,봄방,2,4,50000,0,,,
66,17,여름방,2,6,70000,0,,,
67,17,가을방,4,6,80000,0,,,
68,17,겨울방,8,10,150000,0,,,
69,18,봄방,2,4,50000,0,,,
70,18,여름방,2,6,70000,0,,,
71,18,가을방,4,6,80000,0,,,
72,18,겨울방,8,10,150000,0,,,
73,19,봄방,2,4,50000,0,,,
74,19,여름방,2,6,70000,0,,,
75,19,가을방,4,6,80000,0,,,
76,19,겨울방,8,10,150000,0,,,
77,20,봄방,2,4,50000,0,,,
78,20,여름방,2,6,70000,0,,,
79,20,가을방,4,6,80000,0,,,
80,20,겨울방,8,10,150000,0,,,
81,21,봄방,2,4,50000,0,,,
82,21,여름방,2,6,70000,0,,,
83,21,가을방,4,6,80000,0,,,
84,21,겨울방,8,10,150000,0,,,
85,22,봄방,2,4,50000,0,,,
86,22,여름방,2,6,70000,0,,,
87,22,가을방,4,6,80000,0,,,
88,22,겨울방,8,10,150000,0,,,
89,23,봄방,2,4,50000,0,,,
90,23,여름방,2,6,70000,0,,,
91,23,가을방,4,6,80000,0,,,
92,23,겨울방,8,10,150000,0,,,
93,24,봄방,2,4,50000,0,,,
94,24,여름방,2,6,70000,0,,,
95,24,가을방,4,6,80000,0,,,
96,24,겨울방,8,10,150000,0,,,
97,25,봄방,2,4,50000,0,,,
98,25,여름방,2,6,70000,0,,,
99,25,가을방,4,6,80000,0,,,
100,25,겨울방,8,10,150000,0,,,
101,26,봄방,2,4,50000,0,,,
102,26,여름방,2,6,70000,0,,,
103,26,가을방,4,6,80000,0,,,
104,26,겨울방,8,10,150000,0,,,
105,27,봄방,2,4,50000,0,,,
106,27,여름방,2,6,70000,0,,,
107,27,가을방,4,6,80000,0,,,
108,27,겨울방,8,10,150000,0,,,
109,28,봄방,2,4,50000,0,,,
110,28,여름방,2,6,70000,0,,,
111,28,가을방,4,6,80000,0,,,
112,28,겨울방,8,10,150000,0,,,
113,29,봄방,2,4,50000,0,,,
114,29,여름방,2,6,70000,0,,,
115,29,가을방,4,6,80000,0,,,
116,29,겨울방,8,10,150000,0,,,
117,30,봄방,2,4,50000,0,,,
118,30,여름방,2,6,70000,0,,,
119,30,가을방,4,6,80000,0,,,
120,30,겨울방,8,10,150000,0,,,
121,31,봄방,2,4,50000,0,,,
122,31,여름방,2,6,70000,0,,,
123,31,가을방,4,6,80000,0,,,
124,31,겨울방,8,10,150000,0,,,
125,32,봄방,2,4,50000,0,,,
126,32,여름방,2,6,70000,0,,,
127,32,가을방,4,6,80000,0,,,
128,32,겨울방,8,10,150000,0,,,
129,33,봄방,2,4,50000,0,,,
130,33,여름방,2,6,70000,0,,,
131,33,가을방,4,6,80000,0,,,
132,33,겨울방,8,10,150000,0,,,
133,34,봄방,2,4,50000,0,,,
134,34,여름방,2,6,70000,0,,,
135,34,가을방,4,6,80000,0,,,
136,34,겨울방,8,10,150000,0,,,
137,35,봄방,2,4,50000,0,,,
138,35,여름방,2,6,70000,0,,,
139,35,가을방,4,6,80000,0,,,
140,35,겨울방,8,10,150000,0,,,
141,36,봄방,2,4,50000,0,,,
142,36,여름방,2,6,70000,0,,,
143,36,가을방,4,6,80000,0,,,
144,36,겨울방,8,10,150000,0,,,
145,37,봄방,2,4,50000,0,,,
146,37,여름방,2,6,70000,0,,,
147,37,가을방,4,6,80000,0,,,
148,37,겨울방,8,10,150000,0,,,
149,38,봄방,2,4,50000,0,,,
150,38,여름방,2,6,70000,0,,,
151,38,가을방,4,6,80000,0,,,
152,38,겨울방,8,10,150000,0,,,
153,39,봄방,2,4,50000,0,,,
154,39,여름방,2,6,70000,0,,,
155,39,가을방,4,6,80000,0,,,
156,39,겨울방,8,10,150000,0,,,
157,40,봄방,2,4,50000,0,,,
158,40,여름방,2,6,70000,0,,,
159,40,가을방,4,6,80000,0,,,
160,40,겨울방,8,10,150000,0,,,
161,41,봄방,2,4,50000,0,,,
162,41,여름방,2,6,70000,0,,,
163,41,가을방,4,6,80000,0,,,
164,41,겨울방,8,10,150000,0,,,
165,42,봄방,2,4,50000,0,,,
166,42,여름방,2,6,70000,0,,,
167,42,가을방,4,6,80000,0,,,
168,42,겨울방,8,10,150000,0,,,
169,43,봄방,2,4,50000,0,,,
170,43,여름방,2,6,70000,0,,,
171,43,가을방,4,6,80000,0,,,
172,43,겨울방,8,10,150000,0,,,
173,44,봄방,2,4,50000,0,,,
174,44,여름방,2,6,70000,0,,,
